ANNO,TRIMESTRE,1,2,3,4
2017,3,1272,3103,16690,69769
2017,4,3256,8184,9199,47802
2018,1,749,13841,17719,94337
2018,2,763,10677,19953,67678
2018,3,1321,14312,10759,55011
2018,4,1484,12507,10555,46897
2019,1,-1171,6747,19260,44520
2019,2,7312,15301,20603,66997
2019,3,-4928,8159,14229,84398
2019,4,4364,1160,-26409,-9608
2020,1,-231,15269,36544,131330
2020,2,5997,32383,49549,237170
2020,3,6140,6844,34929,160154
2020,4,2390,129,34350,99952
2021,1,3921,42269,42533,203269
2021,2,-12746,13766,27157,136870
2021,3,1566,3064,22155,22147
2021,4,612,-10320,24830,88439
2022,1,260,1181,31810,68083
2022,2,-10804,-27270,-23920,-1633
