ANNO,TRIMESTRE,COMUNICACION CELULAR S A COMCEL S A,UNE EPM TELECOMUNICACIONES S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,EDATEL S.A.,DIRECTV COLOMBIA LTDA,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,H V TELEVISION S.A.S.,DIALNET DE COLOMBIA S.A   ESP.,LEGON TELECOMUNICACIONES S.A.S.,RURALINK S.A.S
2017,2,0,1250018,966600,643572,201142,126501,106431,37284,13447,151,0
2017,3,0,1275003,968908,650982,204609,140038,104141,39761,15004,4703,0
2017,4,0,1278451,967879,647137,197893,143674,105927,41214,12977,5272,0
2018,1,0,1311196,986358,654486,198338,154705,106380,45175,11233,5875,0
2018,2,0,1325817,1001954,657023,201220,162334,107918,48547,12080,5883,0
2018,3,0,1354791,1008300,661270,204777,170606,109788,53108,8676,7855,0
2018,4,0,1382814,1002199,638973,202522,171220,111173,55832,10670,10127,0
2019,1,0,1415373,997198,627557,207084,173621,111963,59890,11691,13389,0
2019,2,2610782,1442224,984774,626800,200984,173270,110760,62745,13067,15960,0
2019,3,2647664,1474656,992369,632700,197098,183039,112486,68108,13202,16660,0
2019,4,2664110,1506821,994351,630372,189841,187322,115061,73696,14198,19401,0
2020,1,2747552,1517996,1005305,642487,187353,203460,113699,80501,13067,24842,0
2020,2,2879580,1594990,1184090,666092,193088,210176,116237,88880,13067,28615,14797
2020,3,3005507,1594920,1172659,682439,187219,211160,118318,94266,13067,36753,19489
2020,4,3065976,1618325,1156342,692962,182035,196888,118844,96557,13067,43969,23286
2021,1,3175493,1657301,1168215,703246,178029,190198,109525,102308,25768,43065,26190
2021,2,3209411,1686313,1165912,706264,172292,174654,104194,102978,51629,39613,31470
2021,3,3180321,1714644,1170972,700341,168676,165848,101817,88321,63587,38034,34332
2021,4,3231312,1733882,1183775,690473,161377,171813,100394,107526,63587,38633,36294
2022,1,3250531,1762784,1207659,685367,155920,164829,85535,108103,110396,37943,41140
2022,2,3242542,1776438,1230778,684980,152522,158141,100706,107767,60674,57560,41083
