,Unnamed: 1,0,0.1 a 5%,5 a 10%,10 a 15%,15 a 20%,de 20 a 50%,más de 50%
2018,1,15,434,266,133,77,151,44
2018,2,10,428,264,138,86,149,45
2018,3,9,457,248,130,82,147,47
2018,4,13,442,254,128,81,150,52
2019,1,10,443,254,121,84,161,47
2019,2,6,426,270,123,81,165,49
2019,3,5,444,251,118,78,173,51
2019,4,5,608,131,97,64,163,52
2020,1,6,589,128,112,68,165,52
2020,2,7,549,151,111,62,175,65
2020,3,8,525,151,108,72,185,70
2020,4,2,510,152,116,76,189,74
2021,1,3,459,162,140,73,201,82
2021,2,3,417,175,128,92,211,94
2021,3,2,398,175,136,94,213,102
2021,4,3,380,191,143,85,219,99
2022,1,2,400,207,125,86,210,90
2022,2,5,446,186,111,77,207,88
